Product Name,Category,Location,MRP,Blinkit Price,Zepto Price,Instamart Price,Discount (%),Margin (%),Festive/Seasonal Impact,Delivery Distance (km),Shelf Life (days),Min Stock,Max Stock,Final Price,Customer Sentiment,Weight (g/ml),Weight Unit,Order Year,Order Month,Order Day,Order Hour,Order Time Category
17,3,1,0.33333333333333337,0.3077141881897827,0.3061572573767696,0.3058856980381006,13,0.8500000000000001,3,0.07500000000000001,0.5083333333333334,0.025000000000000022,0.12234042553191489,0.3065381104518485,0,1.0,2,0.0,0.1818181818181818,0.8,0.9130434782608695,3
15,3,4,0.7222222222222222,0.7260211628171579,0.7271590198419469,0.7272675575774807,5,0.6500000000000001,0,0.22499999999999998,0.6833333333333335,0.0,0.2074468085106383,0.728149246919215,1,0.24924924924924927,2,0.0,0.7272727272727273,0.9,0.13043478260869565,3
3,2,2,0.2277777777777778,0.2272158379792923,0.23315708681562342,0.22576059141313617,9,0.6000000000000001,4,0.09999999999999998,0.01666666666666667,0.050000000000000044,0.9946808510638299,0.22843450479233224,0,0.0,1,0.0,0.4545454545454545,0.8666666666666667,0.43478260869565216,2
8,2,1,0.37222222222222223,0.37552622596427354,0.37830462220706124,0.3761160079613307,7,0.55,2,0.575,0.008333333333333333,0.050000000000000044,0.9042553191489362,0.3768256503879507,1,1.0,2,0.0,0.1818181818181818,0.9333333333333333,0.5217391304347826,0
16,5,1,0.15000000000000002,0.15411309591534877,0.14833134345329468,0.14933181688939437,12,0.55,5,0.175,0.0027777777777777766,0.42500000000000004,0.9627659574468086,0.15004564125969877,0,1.0,2,0.0,0.0,0.9,0.7391304347826086,1
2,3,4,0.2777777777777778,0.2612925247468426,0.2634032634032635,0.27051464316178553,12,1.0,3,0.7,0.9722222222222223,0.5,0.17553191489361702,0.2648904609767229,2,1.0,2,0.0,0.1818181818181818,0.9333333333333333,0.9565217391304348,3
12,3,2,0.8666666666666667,0.7808055523950392,0.7898118142020583,0.7861245379584872,13,0.5,2,0.22499999999999998,0.7666666666666667,0.7250000000000001,0.3404255319148936,0.7870835235052487,0,0.0,3,0.0,0.2727272727272727,0.3666666666666667,0.8695652173913043,1
6,3,0,0.3888888888888889,0.362896802821709,0.3589175052589687,0.36087574637475117,13,0.55,3,0.22499999999999998,0.8472222222222223,0.7750000000000001,0.28191489361702127,0.36102236421725237,2,0.49949949949949957,2,0.0,0.8181818181818182,0.6333333333333333,0.5217391304347826,0
12,3,1,0.8666666666666667,0.8190920468767777,0.8142020581044973,0.8104634631788455,10,0.6000000000000001,1,0.6,0.8611111111111112,0.4,0.8297872340425532,0.8161798265632132,0,0.0,3,0.0,0.9090909090909091,0.9666666666666667,0.30434782608695654,2
14,3,1,0.21111111111111114,0.2048014563659119,0.199613394735346,0.19926073357975546,13,0.25,3,0.44999999999999996,0.9972222222222222,0.4,0.7606382978723404,0.2008785942492013,1,1.0,2,0.0,0.8181818181818182,0.7,0.9565217391304348,3
